iter	Passed	Remaining
0	6	6855
1	13	6688
2	17	5970
3	23	5729
4	29	5795
5	34	5739
6	40	5684
7	45	5703
8	49	5497
9	53	5270
10	56	5057
11	59	4923
12	68	5173
13	79	5633
14	84	5578
15	88	5470
16	93	5433
17	97	5303
18	100	5163
19	102	5041
20	105	4926
21	117	5211
22	128	5442
23	132	5406
24	137	5378
25	143	5365
26	146	5293
27	150	5214
28	152	5117
29	161	5229
30	174	5465
31	179	5440
32	183	5388
33	189	5382
34	192	5316
35	196	5251
36	198	5173
37	201	5096
38	216	5340
39	223	5365
40	227	5328
41	231	5282
42	236	5252
43	239	5199
44	242	5140
45	244	5077
46	247	5011
47	249	4954
48	265	5160
49	271	5161
50	276	5136
51	279	5096
52	283	5065
53	286	5021
54	289	4979
55	292	4929
56	294	4880
57	297	4833
58	305	4867
59	315	4936
60	319	4925
61	324	4903
62	327	4871
63	331	4843
64	334	4804
65	336	4766
66	339	4727
67	341	4685
68	344	4646
69	359	4779
70	368	4816
71	373	4814
72	377	4797
73	383	4798
74	386	4769
75	389	4737
76	392	4705
77	395	4674
78	398	4649
79	410	4719
80	418	4743
81	423	4736
82	428	4731
83	432	4718
84	436	4695
85	439	4667
86	441	4635
87	447	4642
88	461	4722
89	467	4722
90	471	4708
91	476	4699
92	480	4682
93	483	4661
94	486	4635
95	489	4609
96	505	4704
97	512	4713
98	517	4705
99	521	4690
100	525	4676
101	528	4651
102	531	4630
103	534	4606
104	537	4583
105	551	4649
106	558	4660
107	563	4657
108	568	4645
109	572	4632
110	576	4614
111	579	4593
112	582	4570
113	585	4548
114	600	4622
115	607	4627
116	612	4619
117	616	4606
118	620	4595
119	624	4578
120	627	4561
121	630	4540
122	635	4533
123	649	4586
124	654	4583
125	660	4578
126	664	4566
127	668	4552
128	671	4533
129	674	4515
130	677	4494
131	690	4540
132	704	4590
133	721	4664
134	742	4757
135	749	4763
136	755	4759
137	759	4744
138	764	4736
139	768	4723
140	771	4702
141	774	4681
142	792	4747
143	800	4756
144	806	4752
145	809	4737
146	816	4736
147	819	4717
148	826	4722
149	840	4764
150	848	4768
151	853	4759
152	857	4745
153	863	4742
154	866	4723
155	874	4733
156	887	4764
157	895	4770
158	899	4759
159	903	4745
160	909	4739
161	912	4722
162	922	4738
163	934	4765
164	941	4764
165	946	4753
166	949	4737
167	953	4722
168	958	4712
169	961	4695
170	979	4749
171	986	4748
172	992	4744
173	996	4730
174	1000	4715
175	1005	4709
176	1023	4761
177	1030	4760
178	1037	4760
179	1042	4750
180	1046	4734
181	1050	4720
182	1055	4711
183	1071	4752
184	1078	4751
185	1085	4749
186	1089	4737
187	1093	4721
188	1096	4705
189	1101	4695
190	1112	4710
191	1123	4728
192	1128	4718
193	1134	4712
194	1138	4698
195	1141	4680
196	1144	4663
197	1149	4657
198	1168	4703
199	1175	4703
200	1181	4698
201	1185	4684
202	1188	4667
203	1191	4650
204	1194	4634
205	1208	4658
206	1217	4665
207	1222	4654
208	1226	4641
209	1231	4633
210	1234	4616
211	1237	4599
212	1240	4581
213	1243	4565
214	1258	4595
215	1266	4596
216	1270	4585
217	1275	4574
218	1279	4563
219	1282	4546
220	1285	4530
221	1287	4512
222	1290	4496
223	1306	4526
224	1313	4523
225	1317	4513
226	1321	4499
227	1326	4492
228	1329	4477
229	1333	4462
230	1335	4445
231	1338	4430
232	1354	4457
233	1360	4453
234	1364	4443
235	1368	4430
236	1373	4422
237	1376	4407
238	1379	4393
239	1382	4378
240	1385	4363
241	1401	4390
242	1407	4385
243	1412	4375
244	1415	4362
245	1419	4350
246	1422	4335
247	1425	4321
248	1427	4306
249	1430	4291
250	1433	4276
251	1446	4292
252	1451	4286
253	1456	4276
254	1459	4265
255	1463	4252
256	1466	4240
257	1469	4226
258	1472	4212
259	1474	4197
260	1477	4182
261	1479	4168
262	1493	4186
263	1499	4179
264	1503	4169
265	1507	4159
266	1510	4148
267	1514	4135
